volgnummer,naam,initialen,voornaam
1,Leen Schelfhout,LS,leen
2,Riynto Simanjuntak,RS,riynto
3,Vincent Bellinkx,VB,vincent
4,Kristel Sieprath,KS,kristel
5,Christophe Patyn,CP,christophe
6,Elsje Claessens,EC,elsje
7,Coen Schuckink Kool,CSK,coen
8,Johan Schuckink Kool,JSK,johan
9,Yanti Simanjuntak,YS,yanti
10,Benjamin De Bruyn,BDB,benjamin
11,Dirk Harzé,DH,dirk
12,Hadewig Kras,HK,hadewig
13,Charlotte Landuyt,CL,charlotte
14,Tine Van de Poel De Clippeleire,TVDP,tine
15,Jeanne-Marie Van de Vliet,JMVDV,jeanne-marie
16,Mirzet Salesevic,MS,mirzet
17,Kato Bijvoet,KB,kato
18,Sebastiaan Schelfaut,SS,sebastiaan
19,Rafael van Gogh,RVG,rafael